record_id,title,authors,abstract,year,doi,pmid,venue,url,publication_type,source,source_database
41,Potential of GPT-4 for Detecting Errors in Radiology Reports Implications for Reporting Accuracy,,,,,,,https://pubmed.ncbi.nlm.nih.gov/38625012/,,,PubMed
42,Beyond Diagnosis: Evaluating Multimodal LLMs for Pathology Localization in Chest Radiographs,,,,,,,https://pubmed.ncbi.nlm.nih.gov/42231937/,,,PubMed
43,Understanding Clinical Reasoning Variability in Medical Large Language Models: A Mechanistic Interpretability Study,,,,,,,https://pubmed.ncbi.nlm.nih.gov/41646812/,,,PubMed
44,ReXVQA: A Large-scale Visual Question Answering Benchmark for Generalist Chest X-ray Understanding,,,,,,,https://pubmed.ncbi.nlm.nih.gov/41758146/,,,PubMed
45,A Bilingual Benchmark for Evaluating Diagnostic Performance of Multimodal Large Language Models in Radiology (RadM-Bench): Evaluation Development and Validation,,,,,,,https://pubmed.ncbi.nlm.nih.gov/42566748/,,,PubMed
46,Artificial Intelligence in Occupational Health Surveillance: Evaluating AI-Assisted ILO Classification of Radiographs of Pneumoconioses,,,,,,,https://pubmed.ncbi.nlm.nih.gov/42021753/,,,PubMed
47,Zero-Shot Performance of Six Vision-Language Models for Lung Nodule Detection on Chest Radiographs,,,,,,,https://pubmed.ncbi.nlm.nih.gov/42554685/,,,PubMed
48,Comparative evaluation of generative AI models for chest radiograph report generation in the emergency department,,,,,,,https://pubmed.ncbi.nlm.nih.gov/42268300/,,,PubMed
49,SPARC-Rad: A Multimodal Benchmark Dataset and Evaluation Pipeline for Spatial and Anatomical Reasoning in Radiology Vision-Language Models,,,,,,,https://arxiv.org/abs/2608.00100,,,ArXiv
50,XMedFusion: A Knowledge-Guided Multimodal Perception and Reasoning Framework for Autonomous Medical Systems,,,,,,,https://arxiv.org/abs/2606.14766,,,ArXiv
51,CoDA: Exploring Chain-of-Distribution Attacks and Post-Hoc Token-Space Repair for Medical Vision-Language Models,,,,,,,https://arxiv.org/abs/2603.18545,,,ArXiv
52,MedVL-SAM2: A unified 3D medical vision-language model for multimodal reasoning and prompt-driven segmentation,,,,,,,https://arxiv.org/abs/2601.09879,,,ArXiv
53,Radiology's Last Exam (RadLE): Benchmarking Frontier Multimodal AI Against Human Experts and a Taxonomy of Visual Reasoning Errors in Radiology,,,,,,,https://arxiv.org/abs/2509.25559,,,ArXiv
