DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3774521.3774608,Milk or mimic? MilkNet: Spectral–Spatial Fusion Net for Brand Authentication in Commercial Milk Products Using Hyperspectral Imaging,Padmasri P; Sathya Bama B; Mohamed Mansoor Roomi Sindha,2025,"Proceedings of the Sixteen Indian Conference on Computer Vision, Graphics and Image Processing",proceedings-article,https://doi.org/10.1145/3774521.3774608,
10.1145/3807503.3819459,Assessing Subgroup Fairness in Clinical Missing Data Imputation: A Case Study Using MIMIC-IV,Aldo Marzullo; Abdelrahman Ali Mohamed Dafalla; Elena De Momi,2026,"Proceedings of the 17th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",proceedings-article,https://doi.org/10.1145/3807503.3819459,
10.1145/3712268,"MIMIC: AI and AR-enhanced Multi-Modal, Immersive, Relative Instruction Comprehension",Dhanuja Wanniarachchi; Archan Misra,2025,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",journal-article,https://doi.org/10.1145/3712268,"We present a multimodal instruction comprehension framework, called MImIC, that utilizes visual sensing (including LIDAR and 2D RGB sensing) &amp; AI spatial reasoning capabilities to support more seamless and immersive interaction between humans and AI-driven situated assistive agents. MImIC's key new capability is to support disambiguation of a wider set of relative spatial references that users naturally employ while issuing spatially-situated instructions. To support enhanced visual grounding via a combination of both fully-qualified and relative attribute references, MImIC uses (a) a fine-tuned transformer-based language translation DNN to accurately convert natural verbal commands into a structured set of machine understandable constraints (BLEU score=92.5), (b) a set of modules that use RGB+LIDAR sensing data to convert any relative attribute preferences to fully-qualified attribute constraints (median height/width estimation errors &lt;=2cm), and (c) an enhanced image segmentation DNN, augmented with gesture+verbal cues, to extract target objects of interest (top-1 accuracy= ~85%). To demonstrate the viability and superiority of MImIC, we implement an exemplar AR-augmented, immersive furniture shopping application, called AIRFurn. AIRFurn allows users to browse for, select and overlay furniture items of interest using natural multi-modal and relative cues. experimental studies, using 34 &amp; 11 users over 8 different layouts in a lab setting and 11 users in 6 different real-world home setups, show that AIRFurn offers superior performance, with significantly (~3x) lower task completion times, much higher task (17%+) accuracy and greater user satisfaction (SUS score= 78.8) compared to baselines where users perform selection using only fully-qualified verbal commands or manipulation of AR interfaces."
10.1145/3632776.3632783,Sensitive Floral: Exploring Fractal Tree Data Structures with Grid Computation in Real-Time Generative Graphical System for Mimic the Reactive Characteristics of Mimosa Pudica,Scottie Chih-Chieh Huang,2023,Proceedings of the 11th International Conference on Digital and Interactive Arts,proceedings-article,https://doi.org/10.1145/3632776.3632783,
10.1145/3777577.3777712,A Multimodal Deep Learning Framework for Predicting Cardiovascular Deterioration Based on MIMIC-IV Dataset,Yi Zheng; Fei Zhao; Xiaohua Liu; Min Liu; Ming Yang; Chengkai Zhang; Xiangfeng Luo,2025,Proceedings of the 2025 6th International Symposium on Artificial Intelligence for Medical Sciences,proceedings-article,https://doi.org/10.1145/3777577.3777712,
10.1145/3757423,Should AI Mimic People? Understanding AI-Supported Writing Technology Among Black Users,Jeffrey Basoah; Jay L. Cunningham; Erica Adams; Alisha Bose; Aditi Jain; Kaustubh Yadav; Zhengyang Yang; Katharina Reinecke; Daniela Rosner,2025,Proceedings of the ACM on Human-Computer Interaction,journal-article,https://doi.org/10.1145/3757423,"AI-supported writing technologies (AISWT) that provide grammatical suggestions, autocomplete sentences, or generate and rewrite text are now a regular feature integrated into many people's workflows. However, little is known about how people perceive the suggestions these tools provide. In this paper, we investigate how Black American users perceive AISWT, motivated by prior findings in natural language processing that highlight how the underlying large language models can contain racial biases. Using interviews and observational user studies with 13 Black American users of AISWT, we found a strong tradeoff between the perceived benefits of using AISWT to enhance their writing style and feeling like ''it wasn't built for us'''. Specifically, participants reported AISWT's failure to recognize commonly used names and expressions in African American Vernacular English, experiencing its corrections as hurtful and alienating and fearing it might further minoritize their culture. We end with a reflection on the tension between AISWT that fail to include Black American culture and language, and AISWT that attempt to mimic it, with attention to accuracy, authenticity, and the production of social difference."
10.1145/3606039.3613109,Exploring the Power of Cross-Contextual Large Language Model in Mimic Emotion Prediction,Guofeng Yi; Yuguang Yang; Yu Pan; Yuhang Cao; Jixun Yao; Xiang Lv; Cunhang Fan; Zhao Lv; Jianhua Tao; Shan Liang; Heng Lu,2023,"Proceedings of the 4th on Multimodal Sentiment Analysis Challenge and Workshop: Mimicked Emotions, Humour and Personalisation",proceedings-article,https://doi.org/10.1145/3606039.3613109,
10.1145/3637528.3673870,"Equity, Diversity &amp; Inclusion (EDI): Special Day at ACM KDD 2024",Tania Cerquitelli; Amin Mantrach,2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,proceedings-article,https://doi.org/10.1145/3637528.3673870,
10.1145/3688866.3689124,Geo-LLaVA: A Large Multi-Modal Model for Solving Geometry Math Problems with Meta In-Context Learning,Shihao Xu; Yiyang Luo; Wei Shi,2024,Proceedings of the 2nd Workshop on Large Generative Models Meet Multimodal Applications,proceedings-article,https://doi.org/10.1145/3688866.3689124,
10.1145/3627673.3679562,LLaVA-Chef: A Multi-modal Generative Model for Food Recipes,Fnu Mohbat; Mohammed J. Zaki,2024,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,proceedings-article,https://doi.org/10.1145/3627673.3679562,
